id,name,email,taxes_paid
88,Dorothy Cole,dcole2f@cbslocal.com,$914.00
89,Angela Powell,apowell2g@nps.gov,$302.72
90,Ronald Schmidt,rschmidt2h@stanford.edu,$4198.26
91,Jeffrey Lawrence,jlawrence2i@usnews.com,$4710.38
92,Kathy Nichols,knichols2j@ca.gov,$2958.99
93,Clarence Carter,ccarter2k@1und1.de,$4900.26
94,Julie Romero,jromero2l@nsw.gov.au,$4311.95
95,Melissa Wilson,mwilson2m@cafepress.com,$1825.99
96,Sara Kelley,skelley2n@macromedia.com,$807.25
97,Laura Payne,lpayne2o@mtv.com,$1571.88
98,Johnny Hudson,jhudson2p@soundcloud.com,$1175.00
99,Donna Hayes,dhayes2q@ftc.gov,$2708.62
100,Ashley Myers,amyers2r@rakuten.co.jp,$4807.41
101,Jessica Austin,jaustin2s@addtoany.com,$2541.94
102,Howard Brown,hbrown2t@icio.us,$4064.11
103,Sarah Rogers,srogers2u@jimdo.com,$2212.34
104,Judith Ray,jray2v@sitemeter.com,$2268.16
105,Jesse Peterson,jpeterson2w@google.ca,$3112.91
106,Scott Bishop,sbishop2x@liveinternet.ru,$1401.81
107,Amanda Phillips,aphillips2y@networksolutions.com,$131.01
108,Randy Rivera,rrivera2z@paypal.com,$2779.68
109,Donald Ward,dward30@photobucket.com,$1456.17
110,Lori Dunn,ldunn31@pinterest.com,$777.97
111,Phyllis Richardson,prichardson32@nature.com,$371.18
112,Amy Miller,amiller33@wired.com,$2636.04
113,Michelle Collins,mcollins34@artisteer.com,$876.82
114,Craig Chapman,cchapman35@deliciousdays.com,$4344.59
115,Sandra Webb,swebb36@digg.com,$2488.63
116,Benjamin Meyer,bmeyer37@tamu.edu,$2506.13
117,Karen Berry,kberry38@columbia.edu,$1701.55
118,Robin Wheeler,rwheeler39@cbsnews.com,$1698.84
119,Jeremy Ramos,jramos3a@hugedomains.com,$1277.83
120,Fred Walker,fwalker3b@discuz.net,$809.86
121,Ruby Jacobs,rjacobs3c@nytimes.com,$2575.41
122,Rachel Peters,rpeters3d@arstechnica.com,$1695.90
123,Sarah Bell,sbell3e@upenn.edu,$3871.08
124,Kelly Cook,kcook3f@ox.ac.uk,$1207.45
125,Kenneth Moore,kmoore3g@google.ru,$4336.43
126,Mary Dunn,mdunn3h@google.cn,$656.47
127,Martha Williams,mwilliams3i@unesco.org,$1208.08
128,Laura Daniels,ldaniels3j@unc.edu,$4712.66
129,Julia Warren,jwarren3k@pbs.org,$2404.03
130,Paula Reed,preed3l@nih.gov,$864.22
131,Helen Fernandez,hfernandez3m@vinaora.com,$1346.87
132,Robert Lane,rlane3n@comsenz.com,$148.64
133,Jeffrey Williams,jwilliams3o@multiply.com,$300.71
134,Michael Simmons,msimmons3p@mit.edu,$4951.91
135,Barbara Ramirez,bramirez3q@people.com.cn,$4970.95
136,Jerry Russell,jrussell3r@washington.edu,$4336.57
137,Judith Young,jyoung3s@taobao.com,$4224.15
138,Keith Chapman,kchapman3t@furl.net,$943.39
139,Thomas Gordon,tgordon3u@biglobe.ne.jp,$4915.80
140,Christine Wood,cwood3v@prweb.com,$955.02
141,Victor Mendoza,vmendoza3w@bbb.org,$122.30
142,Karen Williamson,kwilliamson3x@unblog.fr,$182.76
143,Melissa Lynch,mlynch3y@bluehost.com,$2765.54
144,Kimberly Harrison,kharrison3z@amazonaws.com,$1351.20
145,Marie Brown,mbrown40@who.int,$1072.56
146,Kimberly Moore,kmoore41@usatoday.com,$2309.49
147,Angela Gonzalez,agonzalez42@163.com,$21.44
148,Bruce Garcia,bgarcia43@rakuten.co.jp,$4306.38
149,Shawn Schmidt,sschmidt44@free.fr,$2421.30
150,Harold Austin,haustin45@gmpg.org,$31.76
151,Paul Russell,prussell46@nasa.gov,$3913.04
152,Alan Elliott,aelliott47@hhs.gov,$665.74
153,Susan Rice,srice48@europa.eu,$3511.11
154,Shawn Taylor,staylor49@nymag.com,$2433.07
155,Aaron Black,ablack4a@t.co,$130.04
156,Clarence Graham,cgraham4b@comsenz.com,$1970.03
157,Anthony Knight,aknight4c@sina.com.cn,$4160.45
158,Edward Gordon,egordon4d@unblog.fr,$132.89
159,Keith Allen,kallen4e@cbsnews.com,$1851.66
160,Ruth Wright,rwright4f@mlb.com,$1711.12
161,Brenda Peters,bpeters4g@plala.or.jp,$316.84
162,Kimberly Mcdonald,kmcdonald4h@fastcompany.com,$3762.84
163,Norma Lewis,nlewis4i@answers.com,$932.36
164,Susan Rose,srose4j@sitemeter.com,$326.91
165,Tammy James,tjames4k@howstuffworks.com,$3313.59
166,Heather Baker,hbaker4l@weather.com,$84.67
167,Karen Jackson,kjackson4m@vkontakte.ru,$309.92
168,Joyce Ramos,jramos4n@artisteer.com,$3247.61
169,Debra Gutierrez,dgutierrez4o@linkedin.com,$1591.50
170,Christopher Price,cprice4p@amazon.de,$1920.95
171,Elizabeth Harrison,eharrison4q@reuters.com,$1514.45
172,John King,jking4r@joomla.org,$706.68
173,Irene Adams,iadams4s@springer.com,$962.44
174,Steve Wilson,swilson4t@skyrock.com,$1364.25
175,Bruce Arnold,barnold4u@addthis.com,$2596.11
176,Brenda Fernandez,bfernandez4v@newsvine.com,$3682.52
177,George Kim,gkim4w@cbc.ca,$3407.16
178,Jason Bryant,jbryant4x@cnet.com,$4338.93
179,Larry Matthews,lmatthews4y@go.com,$68.68
180,Keith Castillo,kcastillo4z@noaa.gov,$183.54
181,Linda Fernandez,lfernandez50@toplist.cz,$4231.04
182,Denise Jacobs,djacobs51@ovh.net,$3723.58
183,Mark Romero,mromero52@omniture.com,$2015.66
184,Annie Kim,akim53@furl.net,$2919.77
185,Alice Nguyen,anguyen54@woothemes.com,$2309.11
186,Angela Fernandez,afernandez55@jugem.jp,$1581.38
187,Lois Burns,lburns56@nature.com,$150.90
188,Barbara Roberts,broberts57@sun.com,$573.51
189,Carol Foster,cfoster58@last.fm,$3492.99
190,Marie Cook,mcook59@nymag.com,$3257.86
191,Adam Richards,arichards5a@vk.com,$258.31
192,Susan Chapman,schapman5b@biglobe.ne.jp,$2836.49
193,Emily Reed,ereed5c@elegantthemes.com,$79.64
194,Doris Wagner,dwagner5d@independent.co.uk,$649.79
195,Cheryl Russell,crussell5e@buzzfeed.com,$3825.97
196,Diane Moreno,dmoreno5f@nba.com,$4873.15
197,Dorothy Dean,ddean5g@deliciousdays.com,$1631.29
198,Evelyn Burns,eburns5h@illinois.edu,$624.24
199,Brandon Hunter,bhunter5i@purevolume.com,$745.57
200,Maria Miller,mmiller5j@vkontakte.ru,$1589.54
